Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_Parsed,Year,Month,HomeTeam_encoded,AwayTeam_encoded,TotalGoals,GoalDifference,HomeAdvantage,Over2_5,Over1_5,Over3_5,BTTS,FTR_encoded
2016-2017,30/04/17,Everton,Chelsea,0,3,A,17-04-30,17,4,14,11,3,-3,0,1,1,0,0,2
2016-2017,30/04/17,Man United,Swansea,1,1,D,17-04-30,17,4,21,32,2,0,0,0,1,0,1,1
2016-2017,30/04/17,Middlesbrough,Man City,2,2,D,17-04-30,17,4,22,20,4,0,0,1,1,1,1,1
2016-2017,30/04/17,Tottenham,Arsenal,2,0,H,17-04-30,17,4,33,0,2,2,1,0,1,0,0,0
2016-2017,13/05/17,Bournemouth,Burnley,2,1,H,17-05-13,17,5,6,8,3,1,1,1,1,0,1,0
2016-2017,13/05/17,Man City,Leicester,2,1,H,17-05-13,17,5,20,18,3,1,1,1,1,0,1,0
2016-2017,13/05/17,Middlesbrough,Southampton,1,2,A,17-05-13,17,5,22,29,3,-1,0,1,1,0,1,2
2016-2017,13/05/17,Stoke,Arsenal,1,4,A,17-05-13,17,5,30,0,5,-3,0,1,1,1,1,2
2016-2017,13/05/17,Sunderland,Swansea,0,2,A,17-05-13,17,5,31,32,2,-2,0,0,1,0,0,2
2016-2017,14/05/17,Crystal Palace,Hull,4,0,H,17-05-14,17,5,12,17,4,4,1,1,1,1,0,0
2016-2017,14/05/17,Tottenham,Man United,2,1,H,17-05-14,17,5,33,21,3,1,1,1,1,0,1,0
2016-2017,14/05/17,West Ham,Liverpool,0,4,A,17-05-14,17,5,36,19,4,-4,0,1,1,1,0,2
2016-2017,15/05/17,Chelsea,Watford,4,3,H,17-05-15,17,5,11,34,7,1,1,1,1,1,1,0
2016-2017,16/05/17,Arsenal,Sunderland,2,0,H,17-05-16,17,5,0,31,2,2,1,0,1,0,0,0
2016-2017,16/05/17,Man City,West Brom,3,1,H,17-05-16,17,5,20,35,4,2,1,1,1,1,1,0
2016-2017,17/05/17,Southampton,Man United,0,0,D,17-05-17,17,5,29,21,0,0,0,0,0,0,0,1
2016-2017,18/05/17,Leicester,Tottenham,1,6,A,17-05-18,17,5,18,33,7,-5,0,1,1,1,1,2
2016-2017,21/05/17,Arsenal,Everton,3,1,H,17-05-21,17,5,0,14,4,2,1,1,1,1,1,0
2016-2017,21/05/17,Burnley,West Ham,1,2,A,17-05-21,17,5,8,36,3,-1,0,1,1,0,1,2
2016-2017,21/05/17,Chelsea,Sunderland,5,1,H,17-05-21,17,5,11,31,6,4,1,1,1,1,1,0
2016-2017,21/05/17,Hull,Tottenham,1,7,A,17-05-21,17,5,17,33,8,-6,0,1,1,1,1,2
2016-2017,21/05/17,Leicester,Bournemouth,1,1,D,17-05-21,17,5,18,6,2,0,0,0,1,0,1,1
2016-2017,21/05/17,Liverpool,Middlesbrough,3,0,H,17-05-21,17,5,19,22,3,3,1,1,1,0,0,0
2016-2017,21/05/17,Man United,Crystal Palace,2,0,H,17-05-21,17,5,21,12,2,2,1,0,1,0,0,0
2016-2017,21/05/17,Southampton,Stoke,0,1,A,17-05-21,17,5,29,30,1,-1,0,0,0,0,0,2
2016-2017,21/05/17,Swansea,West Brom,2,1,H,17-05-21,17,5,32,35,3,1,1,1,1,0,1,0
2016-2017,21/05/17,Watford,Man City,0,5,A,17-05-21,17,5,34,20,5,-5,0,1,1,1,0,2
2005-2006,10/9/2005,Birmingham,Charlton,0,1,A,2005-09-10,2005,9,2,10,1,-1,0,0,0,0,0,2
2005-2006,10/9/2005,Chelsea,Sunderland,2,0,H,2005-09-10,2005,9,11,31,2,2,1,0,1,0,0,0
2005-2006,10/9/2005,Everton,Portsmouth,0,1,A,2005-09-10,2005,9,14,25,1,-1,0,0,0,0,0,2
2005-2006,10/9/2005,Man United,Man City,1,1,D,2005-09-10,2005,9,21,20,2,0,0,0,1,0,1,1
2005-2006,10/9/2005,Middlesbrough,Arsenal,2,1,H,2005-09-10,2005,9,22,0,3,1,1,1,1,0,1,0
2005-2006,10/9/2005,Newcastle,Fulham,1,1,D,2005-09-10,2005,9,23,15,2,0,0,0,1,0,1,1
2005-2006,10/9/2005,Tottenham,Liverpool,0,0,D,2005-09-10,2005,9,33,19,0,0,0,0,0,0,0,1
2005-2006,10/9/2005,West Brom,Wigan,1,2,A,2005-09-10,2005,9,35,37,3,-1,0,1,1,0,1,2
2005-2006,11/9/2005,Bolton,Blackburn,0,0,D,2005-09-11,2005,9,5,3,0,0,0,0,0,0,0,1
2005-2006,12/9/2005,West Ham,Aston Villa,4,0,H,2005-09-12,2005,9,36,1,4,4,1,1,1,1,0,0
2005-2006,1/10/2005,Blackburn,West Brom,2,0,H,2005-10-01,2005,10,3,35,2,2,1,0,1,0,0,0
2005-2006,1/10/2005,Charlton,Tottenham,2,3,A,2005-10-01,2005,10,10,33,5,-1,0,1,1,1,1,2
2005-2006,1/10/2005,Fulham,Man United,2,3,A,2005-10-01,2005,10,15,21,5,-1,0,1,1,1,1,2
2005-2006,1/10/2005,Portsmouth,Newcastle,0,0,D,2005-10-01,2005,10,25,23,0,0,0,0,0,0,0,1
2005-2006,1/10/2005,Sunderland,West Ham,1,1,D,2005-10-01,2005,10,31,36,2,0,0,0,1,0,1,1
2005-2006,2/10/2005,Arsenal,Birmingham,1,0,H,2005-10-02,2005,10,0,2,1,1,1,0,0,0,0,0
2005-2006,2/10/2005,Aston Villa,Middlesbrough,2,3,A,2005-10-02,2005,10,1,22,5,-1,0,1,1,1,1,2
2005-2006,2/10/2005,Liverpool,Chelsea,1,4,A,2005-10-02,2005,10,19,11,5,-3,0,1,1,1,1,2
2005-2006,2/10/2005,Man City,Everton,2,0,H,2005-10-02,2005,10,20,14,2,2,1,0,1,0,0,0
2005-2006,2/10/2005,Wigan,Bolton,2,1,H,2005-10-02,2005,10,37,5,3,1,1,1,1,0,1,0
2005-2006,5/11/2005,Arsenal,Sunderland,3,1,H,2005-11-05,2005,11,0,31,4,2,1,1,1,1,1,0
2005-2006,5/11/2005,Aston Villa,Liverpool,0,2,A,2005-11-05,2005,11,1,19,2,-2,0,0,1,0,0,2
2005-2006,5/11/2005,Blackburn,Charlton,4,1,H,2005-11-05,2005,11,3,10,5,3,1,1,1,1,1,0
2005-2006,5/11/2005,Fulham,Man City,2,1,H,2005-11-05,2005,11,15,20,3,1,1,1,1,0,1,0
2005-2006,5/11/2005,Newcastle,Birmingham,1,0,H,2005-11-05,2005,11,23,2,1,1,1,0,0,0,0,0
2005-2006,5/11/2005,Portsmouth,Wigan,0,2,A,2005-11-05,2005,11,25,37,2,-2,0,0,1,0,0,2
2005-2006,5/11/2005,West Ham,West Brom,1,0,H,2005-11-05,2005,11,36,35,1,1,1,0,0,0,0,0
2005-2006,6/11/2005,Everton,Middlesbrough,1,0,H,2005-11-06,2005,11,14,22,1,1,1,0,0,0,0,0
2005-2006,6/11/2005,Man United,Chelsea,1,0,H,2005-11-06,2005,11,21,11,1,1,1,0,0,0,0,0
2005-2006,7/11/2005,Bolton,Tottenham,1,0,H,2005-11-07,2005,11,5,33,1,1,1,0,0,0,0,0
2005-2006,3/12/2005,Blackburn,Everton,0,2,A,2005-12-03,2005,12,3,14,2,-2,0,0,1,0,0,2
2005-2006,3/12/2005,Bolton,Arsenal,2,0,H,2005-12-03,2005,12,5,0,2,2,1,0,1,0,0,0
2005-2006,3/12/2005,Chelsea,Middlesbrough,1,0,H,2005-12-03,2005,12,11,22,1,1,1,0,0,0,0,0
2005-2006,3/12/2005,Liverpool,Wigan,3,0,H,2005-12-03,2005,12,19,37,3,3,1,1,1,0,0,0
2005-2006,3/12/2005,Man United,Portsmouth,3,0,H,2005-12-03,2005,12,21,25,3,3,1,1,1,0,0,0
2005-2006,3/12/2005,Newcastle,Aston Villa,1,1,D,2005-12-03,2005,12,23,1,2,0,0,0,1,0,1,1
2005-2006,3/12/2005,Tottenham,Sunderland,3,2,H,2005-12-03,2005,12,33,31,5,1,1,1,1,1,1,0
2005-2006,3/12/2005,West Brom,Fulham,0,0,D,2005-12-03,2005,12,35,15,0,0,0,0,0,0,0,1
2005-2006,4/12/2005,Charlton,Man City,2,5,A,2005-12-04,2005,12,10,20,7,-3,0,1,1,1,1,2
2005-2006,5/12/2005,Birmingham,West Ham,1,2,A,2005-12-05,2005,12,2,36,3,-1,0,1,1,0,1,2
2005-2006,10/12/2005,Birmingham,Fulham,1,0,H,2005-12-10,2005,12,2,15,1,1,1,0,0,0,0,0
2005-2006,10/12/2005,Blackburn,West Ham,3,2,H,2005-12-10,2005,12,3,36,5,1,1,1,1,1,1,0
2005-2006,10/12/2005,Bolton,Aston Villa,1,1,D,2005-12-10,2005,12,5,1,2,0,0,0,1,0,1,1
2005-2006,10/12/2005,Charlton,Sunderland,2,0,H,2005-12-10,2005,12,10,31,2,2,1,0,1,0,0,0
2005-2006,10/12/2005,Chelsea,Wigan,1,0,H,2005-12-10,2005,12,11,37,1,1,1,0,0,0,0,0
2005-2006,10/12/2005,Liverpool,Middlesbrough,2,0,H,2005-12-10,2005,12,19,22,2,2,1,0,1,0,0,0
2005-2006,10/12/2005,Newcastle,Arsenal,1,0,H,2005-12-10,2005,12,23,0,1,1,1,0,0,0,0,0
2005-2006,10/12/2005,West Brom,Man City,2,0,H,2005-12-10,2005,12,35,20,2,2,1,0,1,0,0,0
2005-2006,11/12/2005,Man United,Everton,1,1,D,2005-12-11,2005,12,21,14,2,0,0,0,1,0,1,1
2005-2006,12/12/2005,Tottenham,Portsmouth,3,1,H,2005-12-12,2005,12,33,25,4,2,1,1,1,1,1,0
2005-2006,2/1/2006,Birmingham,Wigan,2,0,H,2006-01-02,2006,1,2,37,2,2,1,0,1,0,0,0
2005-2006,2/1/2006,Blackburn,Portsmouth,2,1,H,2006-01-02,2006,1,3,25,3,1,1,1,1,0,1,0
2005-2006,2/1/2006,Bolton,Liverpool,2,2,D,2006-01-02,2006,1,5,19,4,0,0,1,1,1,1,1
2005-2006,2/1/2006,Everton,Charlton,3,1,H,2006-01-02,2006,1,14,10,4,2,1,1,1,1,1,0
2005-2006,2/1/2006,Fulham,Sunderland,2,1,H,2006-01-02,2006,1,15,31,3,1,1,1,1,0,1,0
2005-2006,2/1/2006,Newcastle,Middlesbrough,2,2,D,2006-01-02,2006,1,23,22,4,0,0,1,1,1,1,1
2005-2006,2/1/2006,West Brom,Aston Villa,1,2,A,2006-01-02,2006,1,35,1,3,-1,0,1,1,0,1,2
2005-2006,2/1/2006,West Ham,Chelsea,1,3,A,2006-01-02,2006,1,36,11,4,-2,0,1,1,1,1,2
2005-2006,3/1/2006,Arsenal,Man United,0,0,D,2006-01-03,2006,1,0,21,0,0,0,0,0,0,0,1
2005-2006,4/1/2006,Man City,Tottenham,0,2,A,2006-01-04,2006,1,20,33,2,-2,0,0,1,0,0,2
2005-2006,1/2/2006,Arsenal,West Ham,2,3,A,2006-02-01,2006,2,0,36,5,-1,0,1,1,1,1,2
2005-2006,1/2/2006,Aston Villa,Chelsea,1,1,D,2006-02-01,2006,2,1,11,2,0,0,0,1,0,1,1
2005-2006,1/2/2006,Blackburn,Man United,4,3,H,2006-02-01,2006,2,3,21,7,1,1,1,1,1,1,0
2005-2006,1/2/2006,Liverpool,Birmingham,1,1,D,2006-02-01,2006,2,19,2,2,0,0,0,1,0,1,1
2005-2006,1/2/2006,Man City,Newcastle,3,0,H,2006-02-01,2006,2,20,23,3,3,1,1,1,0,0,0
2005-2006,1/2/2006,Portsmouth,Bolton,1,1,D,2006-02-01,2006,2,25,5,2,0,0,0,1,0,1,1
2005-2006,4/2/2006,Birmingham,Arsenal,0,2,A,2006-02-04,2006,2,2,0,2,-2,0,0,1,0,0,2
2005-2006,4/2/2006,Bolton,Wigan,1,1,D,2006-02-04,2006,2,5,37,2,0,0,0,1,0,1,1
2005-2006,4/2/2006,Everton,Man City,1,0,H,2006-02-04,2006,2,14,20,1,1,1,0,0,0,0,0
2005-2006,4/2/2006,Man United,Fulham,4,2,H,2006-02-04,2006,2,21,15,6,2,1,1,1,1,1,0
2005-2006,4/2/2006,Middlesbrough,Aston Villa,0,4,A,2006-02-04,2006,2,22,1,4,-4,0,1,1,1,0,2
2005-2006,4/2/2006,Newcastle,Portsmouth,2,0,H,2006-02-04,2006,2,23,25,2,2,1,0,1,0,0,0
2005-2006,4/2/2006,West Brom,Blackburn,2,0,H,2006-02-04,2006,2,35,3,2,2,1,0,1,0,0,0
2005-2006,4/2/2006,West Ham,Sunderland,2,0,H,2006-02-04,2006,2,36,31,2,2,1,0,1,0,0,0
2005-2006,5/2/2006,Chelsea,Liverpool,2,0,H,2006-02-05,2006,2,11,19,2,2,1,0,1,0,0,0
2005-2006,5/2/2006,Tottenham,Charlton,3,1,H,2006-02-05,2006,2,33,10,4,2,1,1,1,1,1,0
2005-2006,8/2/2006,Charlton,Liverpool,2,0,H,2006-02-08,2006,2,10,19,2,2,1,0,1,0,0,0
2005-2006,11/2/2006,Arsenal,Bolton,1,1,D,2006-02-11,2006,2,0,5,2,0,0,0,1,0,1,1
2005-2006,11/2/2006,Aston Villa,Newcastle,1,2,A,2006-02-11,2006,2,1,23,3,-1,0,1,1,0,1,2
2005-2006,11/2/2006,Everton,Blackburn,1,0,H,2006-02-11,2006,2,14,3,1,1,1,0,0,0,0,0
2005-2006,11/2/2006,Fulham,West Brom,6,1,H,2006-02-11,2006,2,15,35,7,5,1,1,1,1,1,0
2005-2006,11/2/2006,Middlesbrough,Chelsea,3,0,H,2006-02-11,2006,2,22,11,3,3,1,1,1,0,0,0
2005-2006,11/2/2006,Portsmouth,Man United,1,3,A,2006-02-11,2006,2,25,21,4,-2,0,1,1,1,1,2
2005-2006,11/2/2006,Wigan,Liverpool,0,1,A,2006-02-11,2006,2,37,19,1,-1,0,0,0,0,0,2
2005-2006,12/2/2006,Man City,Charlton,3,2,H,2006-02-12,2006,2,20,10,5,1,1,1,1,1,1,0
2005-2006,12/2/2006,Sunderland,Tottenham,1,1,D,2006-02-12,2006,2,31,33,2,0,0,0,1,0,1,1
2005-2006,4/3/2006,Aston Villa,Portsmouth,1,0,H,2006-03-04,2006,3,1,25,1,1,1,0,0,0,0,0
2005-2006,4/3/2006,Fulham,Arsenal,0,4,A,2006-03-04,2006,3,15,0,4,-4,0,1,1,1,0,2
2005-2006,4/3/2006,Liverpool,Charlton,0,0,D,2006-03-04,2006,3,19,10,0,0,0,0,0,0,0,1
2005-2006,4/3/2006,Middlesbrough,Birmingham,1,0,H,2006-03-04,2006,3,22,2,1,1,1,0,0,0,0,0
2005-2006,4/3/2006,Newcastle,Bolton,3,1,H,2006-03-04,2006,3,23,5,4,2,1,1,1,1,1,0
2005-2006,4/3/2006,West Brom,Chelsea,1,2,A,2006-03-04,2006,3,35,11,3,-1,0,1,1,0,1,2
2005-2006,4/3/2006,West Ham,Everton,2,2,D,2006-03-04,2006,3,36,14,4,0,0,1,1,1,1,1
2005-2006,5/3/2006,Man City,Sunderland,2,1,H,2006-03-05,2006,3,20,31,3,1,1,1,1,0,1,0
2005-2006,5/3/2006,Tottenham,Blackburn,3,2,H,2006-03-05,2006,3,33,3,5,1,1,1,1,1,1,0
2005-2006,6/3/2006,Wigan,Man United,1,2,A,2006-03-06,2006,3,37,21,3,-1,0,1,1,0,1,2
2005-2006,11/3/2006,Birmingham,West Brom,1,1,D,2006-03-11,2006,3,2,35,2,0,0,0,1,0,1,1
2005-2006,11/3/2006,Blackburn,Aston Villa,2,0,H,2006-03-11,2006,3,3,1,2,2,1,0,1,0,0,0
2005-2006,11/3/2006,Bolton,West Ham,4,1,H,2006-03-11,2006,3,5,36,5,3,1,1,1,1,1,0
2005-2006,11/3/2006,Chelsea,Tottenham,2,1,H,2006-03-11,2006,3,11,33,3,1,1,1,1,0,1,0
2005-2006,11/3/2006,Everton,Fulham,3,1,H,2006-03-11,2006,3,14,15,4,2,1,1,1,1,1,0
2005-2006,11/3/2006,Portsmouth,Man City,2,1,H,2006-03-11,2006,3,25,20,3,1,1,1,1,0,1,0
2005-2006,11/3/2006,Sunderland,Wigan,0,1,A,2006-03-11,2006,3,31,37,1,-1,0,0,0,0,0,2
2005-2006,12/3/2006,Arsenal,Liverpool,2,1,H,2006-03-12,2006,3,0,19,3,1,1,1,1,0,1,0
2005-2006,12/3/2006,Charlton,Middlesbrough,2,1,H,2006-03-12,2006,3,10,22,3,1,1,1,1,0,1,0
2005-2006,12/3/2006,Man United,Newcastle,2,0,H,2006-03-12,2006,3,21,23,2,2,1,0,1,0,0,0
2005-2006,1/4/2006,Arsenal,Aston Villa,5,0,H,2006-04-01,2006,4,0,1,5,5,1,1,1,1,0,0
2005-2006,1/4/2006,Birmingham,Chelsea,0,0,D,2006-04-01,2006,4,2,11,0,0,0,0,0,0,0,1
2005-2006,1/4/2006,Bolton,Man United,1,2,A,2006-04-01,2006,4,5,21,3,-1,0,1,1,0,1,2
2005-2006,1/4/2006,Everton,Sunderland,2,2,D,2006-04-01,2006,4,14,31,4,0,0,1,1,1,1,1
2005-2006,1/4/2006,Fulham,Portsmouth,1,3,A,2006-04-01,2006,4,15,25,4,-2,0,1,1,1,1,2
2005-2006,1/4/2006,Newcastle,Tottenham,3,1,H,2006-04-01,2006,4,23,33,4,2,1,1,1,1,1,0
2005-2006,1/4/2006,West Brom,Liverpool,0,2,A,2006-04-01,2006,4,35,19,2,-2,0,0,1,0,0,2
2005-2006,2/4/2006,Man City,Middlesbrough,0,1,A,2006-04-02,2006,4,20,22,1,-1,0,0,0,0,0,2
2005-2006,2/4/2006,West Ham,Charlton,0,0,D,2006-04-02,2006,4,36,10,0,0,0,0,0,0,0,1
2005-2006,3/4/2006,Blackburn,Wigan,1,1,D,2006-04-03,2006,4,3,37,2,0,0,0,1,0,1,1
2005-2006,4/4/2006,Birmingham,Bolton,1,0,H,2006-04-04,2006,4,2,5,1,1,1,0,0,0,0,0
2005-2006,8/4/2006,Charlton,Everton,0,0,D,2006-04-08,2006,4,10,14,0,0,0,0,0,0,0,1
2005-2006,8/4/2006,Portsmouth,Blackburn,2,2,D,2006-04-08,2006,4,25,3,4,0,0,1,1,1,1,1
2005-2006,8/4/2006,Tottenham,Man City,2,1,H,2006-04-08,2006,4,33,20,3,1,1,1,1,0,1,0
2005-2006,8/4/2006,Wigan,Birmingham,1,1,D,2006-04-08,2006,4,37,2,2,0,0,0,1,0,1,1
2005-2006,9/4/2006,Aston Villa,West Brom,0,0,D,2006-04-09,2006,4,1,35,0,0,0,0,0,0,0,1
2005-2006,9/4/2006,Chelsea,West Ham,4,1,H,2006-04-09,2006,4,11,36,5,3,1,1,1,1,1,0
2005-2006,9/4/2006,Liverpool,Bolton,1,0,H,2006-04-09,2006,4,19,5,1,1,1,0,0,0,0,0
2005-2006,9/4/2006,Man United,Arsenal,2,0,H,2006-04-09,2006,4,21,0,2,2,1,0,1,0,0,0
2005-2006,9/4/2006,Middlesbrough,Newcastle,1,2,A,2006-04-09,2006,4,22,23,3,-1,0,1,1,0,1,2
2005-2006,12/4/2006,Portsmouth,Arsenal,1,1,D,2006-04-12,2006,4,25,0,2,0,0,0,1,0,1,1
2005-2006,1/5/2006,Man United,Middlesbrough,0,0,D,2006-05-01,2006,5,21,22,0,0,0,0,0,0,0,1
2005-2006,1/5/2006,Sunderland,Arsenal,0,3,A,2006-05-01,2006,5,31,0,3,-3,0,1,1,0,0,2
2005-2006,1/5/2006,West Brom,West Ham,0,1,A,2006-05-01,2006,5,35,36,1,-1,0,0,0,0,0,2
2005-2006,2/5/2006,Blackburn,Chelsea,1,0,H,2006-05-02,2006,5,3,11,1,1,1,0,0,0,0,0
2005-2006,3/5/2006,Bolton,Middlesbrough,1,1,D,2006-05-03,2006,5,5,22,2,0,0,0,1,0,1,1
2005-2006,4/5/2006,Man City,Arsenal,1,3,A,2006-05-04,2006,5,20,0,4,-2,0,1,1,1,1,2
2005-2006,4/5/2006,Sunderland,Fulham,2,1,H,2006-05-04,2006,5,31,15,3,1,1,1,1,0,1,0
2005-2006,7/5/2006,Arsenal,Wigan,4,2,H,2006-05-07,2006,5,0,37,6,2,1,1,1,1,1,0
2005-2006,7/5/2006,Aston Villa,Sunderland,2,1,H,2006-05-07,2006,5,1,31,3,1,1,1,1,0,1,0
2005-2006,7/5/2006,Blackburn,Man City,2,0,H,2006-05-07,2006,5,3,20,2,2,1,0,1,0,0,0
2005-2006,7/5/2006,Bolton,Birmingham,1,0,H,2006-05-07,2006,5,5,2,1,1,1,0,0,0,0,0
2005-2006,7/5/2006,Everton,West Brom,2,2,D,2006-05-07,2006,5,14,35,4,0,0,1,1,1,1,1
2005-2006,7/5/2006,Fulham,Middlesbrough,1,0,H,2006-05-07,2006,5,15,22,1,1,1,0,0,0,0,0
2005-2006,7/5/2006,Man United,Charlton,4,0,H,2006-05-07,2006,5,21,10,4,4,1,1,1,1,0,0
2005-2006,7/5/2006,Newcastle,Chelsea,1,0,H,2006-05-07,2006,5,23,11,1,1,1,0,0,0,0,0
2005-2006,7/5/2006,Portsmouth,Liverpool,1,3,A,2006-05-07,2006,5,25,19,4,-2,0,1,1,1,1,2
2005-2006,7/5/2006,West Ham,Tottenham,2,1,H,2006-05-07,2006,5,36,33,3,1,1,1,1,0,1,0
2006-2007,9/9/2006,Arsenal,Middlesbrough,1,1,D,2006-09-09,2006,9,0,22,2,0,0,0,1,0,1,1
2006-2007,9/9/2006,Bolton,Watford,1,0,H,2006-09-09,2006,9,5,34,1,1,1,0,0,0,0,0
2006-2007,9/9/2006,Chelsea,Charlton,2,1,H,2006-09-09,2006,9,11,10,3,1,1,1,1,0,1,0
2006-2007,9/9/2006,Everton,Liverpool,3,0,H,2006-09-09,2006,9,14,19,3,3,1,1,1,0,0,0
2006-2007,9/9/2006,Man United,Tottenham,1,0,H,2006-09-09,2006,9,21,33,1,1,1,0,0,0,0,0
2006-2007,9/9/2006,Newcastle,Fulham,1,2,A,2006-09-09,2006,9,23,15,3,-1,0,1,1,0,1,2
2006-2007,9/9/2006,Portsmouth,Wigan,1,0,H,2006-09-09,2006,9,25,37,1,1,1,0,0,0,0,0
2006-2007,9/9/2006,Sheffield United,Blackburn,0,0,D,2006-09-09,2006,9,28,3,0,0,0,0,0,0,0,1
2006-2007,10/9/2006,West Ham,Aston Villa,1,1,D,2006-09-10,2006,9,36,1,2,0,0,0,1,0,1,1
2006-2007,11/9/2006,Reading,Man City,1,0,H,2006-09-11,2006,9,27,20,1,1,1,0,0,0,0,0
2006-2007,1/10/2006,Blackburn,Wigan,2,1,H,2006-10-01,2006,10,3,37,3,1,1,1,1,0,1,0
2006-2007,1/10/2006,Man United,Newcastle,2,0,H,2006-10-01,2006,10,21,23,2,2,1,0,1,0,0,0
2006-2007,1/10/2006,Tottenham,Portsmouth,2,1,H,2006-10-01,2006,10,33,25,3,1,1,1,1,0,1,0
2006-2007,1/10/2006,West Ham,Reading,0,1,A,2006-10-01,2006,10,36,27,1,-1,0,0,0,0,0,2
2006-2007,2/10/2006,Watford,Fulham,3,3,D,2006-10-02,2006,10,34,15,6,0,0,1,1,1,1,1
2006-2007,4/11/2006,Bolton,Wigan,0,1,A,2006-11-04,2006,11,5,37,1,-1,0,0,0,0,0,2
2006-2007,4/11/2006,Charlton,Man City,1,0,H,2006-11-04,2006,11,10,20,1,1,1,0,0,0,0,0
2006-2007,4/11/2006,Fulham,Everton,1,0,H,2006-11-04,2006,11,15,14,1,1,1,0,0,0,0,0
2006-2007,4/11/2006,Liverpool,Reading,2,0,H,2006-11-04,2006,11,19,27,2,2,1,0,1,0,0,0
2006-2007,4/11/2006,Man United,Portsmouth,3,0,H,2006-11-04,2006,11,21,25,3,3,1,1,1,0,0,0
2006-2007,4/11/2006,Newcastle,Sheffield United,0,1,A,2006-11-04,2006,11,23,28,1,-1,0,0,0,0,0,2
2006-2007,4/11/2006,Watford,Middlesbrough,2,0,H,2006-11-04,2006,11,34,22,2,2,1,0,1,0,0,0
2006-2007,5/11/2006,Aston Villa,Blackburn,2,0,H,2006-11-05,2006,11,1,3,2,2,1,0,1,0,0,0
2006-2007,5/11/2006,Tottenham,Chelsea,2,1,H,2006-11-05,2006,11,33,11,3,1,1,1,1,0,1,0
2006-2007,5/11/2006,West Ham,Arsenal,1,0,H,2006-11-05,2006,11,36,0,1,1,1,0,0,0,0,0
2006-2007,11/11/2006,Blackburn,Man United,0,1,A,2006-11-11,2006,11,3,21,1,-1,0,0,0,0,0,2
2006-2007,11/11/2006,Chelsea,Watford,4,0,H,2006-11-11,2006,11,11,34,4,4,1,1,1,1,0,0
2006-2007,11/11/2006,Everton,Aston Villa,0,1,A,2006-11-11,2006,11,14,1,1,-1,0,0,0,0,0,2
2006-2007,11/11/2006,Man City,Newcastle,0,0,D,2006-11-11,2006,11,20,23,0,0,0,0,0,0,0,1
2006-2007,11/11/2006,Middlesbrough,West Ham,1,0,H,2006-11-11,2006,11,22,36,1,1,1,0,0,0,0,0
2006-2007,11/11/2006,Portsmouth,Fulham,1,1,D,2006-11-11,2006,11,25,15,2,0,0,0,1,0,1,1
2006-2007,11/11/2006,Sheffield United,Bolton,2,2,D,2006-11-11,2006,11,28,5,4,0,0,1,1,1,1,1
2006-2007,11/11/2006,Wigan,Charlton,3,2,H,2006-11-11,2006,11,37,10,5,1,1,1,1,1,1,0
2006-2007,12/11/2006,Arsenal,Liverpool,3,0,H,2006-11-12,2006,11,0,19,3,3,1,1,1,0,0,0
2006-2007,12/11/2006,Reading,Tottenham,3,1,H,2006-11-12,2006,11,27,33,4,2,1,1,1,1,1,0
2006-2007,2/12/2006,Arsenal,Tottenham,3,0,H,2006-12-02,2006,12,0,33,3,3,1,1,1,0,0,0
2006-2007,2/12/2006,Blackburn,Fulham,2,0,H,2006-12-02,2006,12,3,15,2,2,1,0,1,0,0,0
2006-2007,2/12/2006,Middlesbrough,Man United,1,2,A,2006-12-02,2006,12,22,21,3,-1,0,1,1,0,1,2
2006-2007,2/12/2006,Portsmouth,Aston Villa,2,2,D,2006-12-02,2006,12,25,1,4,0,0,1,1,1,1,1
2006-2007,2/12/2006,Reading,Bolton,1,0,H,2006-12-02,2006,12,27,5,1,1,1,0,0,0,0,0
2006-2007,2/12/2006,Sheffield United,Charlton,2,1,H,2006-12-02,2006,12,28,10,3,1,1,1,1,0,1,0
2006-2007,2/12/2006,Wigan,Liverpool,0,4,A,2006-12-02,2006,12,37,19,4,-4,0,1,1,1,0,2
2006-2007,3/12/2006,Everton,West Ham,2,0,H,2006-12-03,2006,12,14,36,2,2,1,0,1,0,0,0
2006-2007,4/12/2006,Man City,Watford,0,0,D,2006-12-04,2006,12,20,34,0,0,0,0,0,0,0,1
2006-2007,5/12/2006,Charlton,Blackburn,1,0,H,2006-12-05,2006,12,10,3,1,1,1,0,0,0,0,0
2006-2007,5/12/2006,Tottenham,Middlesbrough,2,1,H,2006-12-05,2006,12,33,22,3,1,1,1,1,0,1,0
2006-2007,6/12/2006,Newcastle,Reading,3,2,H,2006-12-06,2006,12,23,27,5,1,1,1,1,1,1,0
2006-2007,6/12/2006,West Ham,Wigan,0,2,A,2006-12-06,2006,12,36,37,2,-2,0,0,1,0,0,2
2006-2007,9/12/2006,Blackburn,Newcastle,1,3,A,2006-12-09,2006,12,3,23,4,-2,0,1,1,1,1,2
2006-2007,9/12/2006,Bolton,West Ham,4,0,H,2006-12-09,2006,12,5,36,4,4,1,1,1,1,0,0
2006-2007,9/12/2006,Liverpool,Fulham,4,0,H,2006-12-09,2006,12,19,15,4,4,1,1,1,1,0,0
2006-2007,9/12/2006,Man United,Man City,3,1,H,2006-12-09,2006,12,21,20,4,2,1,1,1,1,1,0
